(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(27.0,-14.0,-4.0)
(25.0,-17.0,-255.0)
(28.0,-23.0,-3.0)
(22.0,-21.0,-2.0)
(25.0,-19.0,-4.0)
(26.0,-17.0,-5.0)
(27.0,-21.0,-4.0)
(30.0,-14.0,-1.0)
(30.0,-21.0,-2.0)
(25.0,-20.0,-3.0)
(26.0,-16.0,-5.0)
(24.0,-16.0,-3.0)
(29.0,-20.0,-4.0)
(31.0,-13.0,-1.0)
(25.0,-18.0,-3.0)
(25.0,-19.0,-6.0)
(25.0,-17.0,-4.0)
(23.0,-19.0,-3.0)
(24.0,-15.0,0.0)
(24.0,-12.0,4.0)
(24.0,-16.0,-4.0)
(31.0,-24.0,-8.0)
(26.0,-30.0,-4.0)
(25.0,-24.0,-1.0)
(30.0,-16.0,-5.0)
(27.0,-17.0,-1.0)
(24.0,-19.0,-3.0)
(26.0,-22.0,-6.0)
(25.0,-15.0,-8.0)
(22.0,-21.0,-6.0)
(29.0,-24.0,-1.0)
(24.0,-22.0,0.0)
(26.0,-22.0,1.0)
(23.0,-16.0,-2.0)
(23.0,-20.0,-3.0)
(26.0,-18.0,-8.0)
(23.0,-15.0,-3.0)
(26.0,-17.0,-3.0)
(23.0,-19.0,-1.0)
(24.0,-27.0,-5.0)
(21.0,-11.0,-5.0)
(23.0,-13.0,-3.0)
(26.0,-16.0,-2.0)
(28.0,-19.0,-6.0)
(25.0,-20.0,-5.0)
(24.0,-19.0,-5.0)
(29.0,-11.0,-3.0)
(29.0,-18.0,2.0)
(26.0,-21.0,0.0)
(22.0,-19.0,-1.0)
(32.0,-16.0,-1.0)
(25.0,-16.0,4.0)
(20.0,-24.0,0.0)
(21.0,-24.0,-2.0)
(27.0,-28.0,-4.0)
(27.0,-14.0,-2.0)
(26.0,-14.0,-7.0)
(25.0,-17.0,-5.0)
(24.0,-18.0,-7.0)
(25.0,-19.0,-4.0)
(24.0,-14.0,-4.0)
(24.0,-10.0,-4.0)
(25.0,-16.0,-4.0)
(23.0,-14.0,-3.0)
(26.0,-22.0,-6.0)
(20.0,-18.0,-4.0)
(26.0,-20.0,-7.0)
(26.0,-14.0,-1.0)
(28.0,-17.0,-4.0)
(27.0,-16.0,-3.0)
(22.0,-18.0,-2.0)
(22.0,-14.0,-255.0)
(24.0,-20.0,0.0)
(24.0,-15.0,0.0)
(24.0,-9.0,-3.0)
(30.0,-18.0,-3.0)
(24.0,-22.0,-3.0)
(19.0,-16.0,-2.0)
(20.0,-19.0,-5.0)
(22.0,-14.0,-4.0)
(26.0,-15.0,-3.0)
(24.0,-17.0,-1.0)
(25.0,-17.0,-5.0)
(27.0,-16.0,-3.0)
(20.0,-19.0,-4.0)
(25.0,-16.0,-4.0)
(22.0,-17.0,2.0)
(23.0,-18.0,-3.0)
(24.0,-20.0,-4.0)
(27.0,-26.0,-3.0)
(28.0,-19.0,0.0)
(25.0,-15.0,2.0)
(24.0,-11.0,-3.0)
(26.0,-18.0,-3.0)
(23.0,-22.0,-4.0)
(27.0,-20.0,-4.0)
(26.0,-15.0,-2.0)
(26.0,-8.0,0.0)
(28.0,-15.0,-5.0)
(24.0,-15.0,-2.0)
(21.0,-18.0,-5.0)
(24.0,-13.0,-2.0)
(29.0,-20.0,-1.0)
(26.0,-23.0,0.0)
(22.0,-23.0,-3.0)
(22.0,-20.0,1.0)
(24.0,-18.0,-1.0)
(28.0,-17.0,-7.0)
(30.0,-17.0,-4.0)
(27.0,-17.0,-5.0)
(21.0,-21.0,-6.0)
(18.0,-25.0,-2.0)
(24.0,-15.0,-3.0)
(28.0,-24.0,-2.0)
(27.0,-16.0,-1.0)
(23.0,-18.0,-1.0)
(25.0,-17.0,-4.0)
(29.0,-15.0,-4.0)
(26.0,-17.0,-3.0)
(23.0,-12.0,-2.0)
(22.0,-25.0,-1.0)
(23.0,-16.0,-3.0)
(18.0,-16.0,1.0)
(29.0,-28.0,-2.0)
(23.0,-19.0,-2.0)
(23.0,-17.0,-4.0)
(24.0,-16.0,-1.0)
(23.0,-21.0,-3.0)
(23.0,-13.0,0.0)
(26.0,-19.0,-6.0)
(25.0,-19.0,-3.0)
(28.0,-19.0,-2.0)
(24.0,-14.0,-3.0)
(17.0,-20.0,2.0)
(28.0,-15.0,-2.0)
(27.0,-15.0,-3.0)
(22.0,-23.0,-2.0)
(21.0,-14.0,0.0)
(23.0,-12.0,-7.0)
(25.0,-19.0,-7.0)
(26.0,-21.0,-5.0)
(26.0,-22.0,-8.0)
(24.0,-20.0,-1.0)
(23.0,-17.0,-5.0)
(23.0,-13.0,-3.0)
(31.0,-10.0,-3.0)
(24.0,-20.0,-5.0)
(24.0,-14.0,-4.0)
(22.0,-11.0,0.0)
(32.0,-14.0,0.0)
(23.0,-21.0,-4.0)
(23.0,-16.0,-2.0)
(20.0,-15.0,-2.0)
(27.0,-11.0,-6.0)
(31.0,-12.0,-7.0)
(29.0,-13.0,-4.0)
(24.0,-26.0,-3.0)
(24.0,-23.0,2.0)
(24.0,-20.0,0.0)
(28.0,-21.0,-3.0)
(25.0,-19.0,-4.0)
(19.0,-14.0,1.0)
(23.0,-21.0,0.0)
(23.0,-20.0,-1.0)
(30.0,-21.0,-4.0)
(23.0,-20.0,-4.0)
(24.0,-19.0,-2.0)
(30.0,-10.0,-2.0)
(26.0,-9.0,-3.0)
(29.0,-15.0,0.0)
(30.0,-17.0,-3.0)
(25.0,-16.0,-2.0)
(28.0,-18.0,-2.0)
(25.0,-21.0,1.0)
(31.0,-13.0,0.0)
(31.0,-15.0,-1.0)
(27.0,-17.0,-3.0)
(26.0,-14.0,-5.0)
(30.0,-21.0,-3.0)
(25.0,-17.0,-1.0)
(25.0,-18.0,-3.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(25.0,-24.0,-3.0)
(26.0,-21.0,-2.0)
(24.0,-20.0,-1.0)
(27.0,-21.0,-4.0)
(26.0,-22.0,-3.0)
(28.0,-11.0,-5.0)
(24.0,-402.0,145.0)
(25.0,-400.0,149.0)
(25.0,-400.0,149.0)
(25.0,-400.0,149.0)
(25.0,-400.0,149.0)
(25.0,-400.0,149.0)
(25.0,-400.0,149.0)
(20.0,-403.0,147.0)
(20.0,-403.0,147.0)
(20.0,-403.0,147.0)
(20.0,-403.0,147.0)
(20.0,-403.0,147.0)
(20.0,-403.0,147.0)
(20.0,-401.0,144.0)
(20.0,-401.0,144.0)
(20.0,-401.0,144.0)
(20.0,-401.0,144.0)
(20.0,-401.0,144.0)
(20.0,-401.0,144.0)
(22.0,-402.0,147.0)
(22.0,-402.0,147.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(29.0,-12.0,1.0)
(23.0,-15.0,-1.0)
(29.0,-14.0,-6.0)
(29.0,-19.0,-6.0)
(25.0,-18.0,-8.0)
(29.0,-17.0,-2.0)
(29.0,-18.0,-2.0)
(30.0,-13.0,-1.0)
(25.0,-10.0,-2.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(23.0,-21.0,-5.0)
(29.0,-18.0,-1.0)
(28.0,-10.0,-5.0)
(22.0,-22.0,-4.0)
(20.0,-22.0,1.0)
(29.0,-20.0,-3.0)
(27.0,-18.0,-4.0)
(22.0,-16.0,255.0)
(21.0,-20.0,-4.0)
(29.0,-19.0,-2.0)
(25.0,-16.0,-1.0)
(28.0,-21.0,-8.0)
(24.0,-15.0,0.0)
(22.0,-12.0,-2.0)
(28.0,-16.0,-5.0)
(27.0,-18.0,-3.0)
(22.0,-9.0,1.0)
(31.0,-14.0,-2.0)
(27.0,-11.0,-4.0)
(30.0,-18.0,-3.0)
(28.0,-27.0,-3.0)
(25.0,-22.0,-3.0)
(32.0,-17.0,-5.0)
(28.0,-19.0,-5.0)
(21.0,-17.0,-5.0)
(29.0,-12.0,-4.0)
(28.0,-14.0,-2.0)
(26.0,-19.0,-7.0)
(23.0,-14.0,-1.0)
(24.0,-16.0,0.0)
(25.0,-22.0,-5.0)
(22.0,-20.0,-4.0)
(21.0,-16.0,0.0)
(20.0,-17.0,-3.0)
(20.0,-20.0,-3.0)
(25.0,-22.0,-2.0)
(29.0,-20.0,-5.0)
(20.0,-16.0,-1.0)
(23.0,-14.0,-8.0)
(25.0,-26.0,-5.0)
(22.0,-22.0,-3.0)
(26.0,-20.0,-4.0)
(25.0,-18.0,-2.0)
(22.0,-21.0,-5.0)
(25.0,-16.0,-3.0)
(24.0,-21.0,-2.0)
(24.0,-15.0,-6.0)
(31.0,-20.0,-8.0)
(24.0,-13.0,-3.0)
(25.0,-21.0,0.0)
(25.0,-21.0,-2.0)
(26.0,-20.0,-6.0)
(28.0,-16.0,-2.0)
(23.0,-20.0,-9.0)
(23.0,-18.0,-4.0)
(30.0,-12.0,-6.0)
(30.0,-18.0,-1.0)
(28.0,-24.0,-3.0)
(22.0,-16.0,-3.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(9.0,-20992.0,-7168.0)
(29.0,-18.0,-7.0)
(28.0,-17.0,-3.0)
(27.0,-19.0,1.0)
(22.0,-20.0,-6.0)
(22.0,-19.0,-1.0)
(20.0,-17.0,2.0)
(25.0,-18.0,-1.0)
(27.0,-22.0,-3.0)
(24.0,-18.0,-4.0)
(23.0,-20.0,-4.0)
(26.0,-19.0,-6.0)
(23.0,-14.0,-4.0)
(22.0,-18.0,-2.0)
(31.0,-15.0,0.0)
(27.0,-22.0,-1.0)
(23.0,-16.0,-2.0)
(23.0,-11.0,-2.0)
(23.0,-18.0,-3.0)
(24.0,-21.0,-2.0)
(24.0,-20.0,-3.0)
(24.0,-18.0,-1.0)
(25.0,-24.0,-3.0)
(24.0,-10.0,-2.0)
(22.0,-16.0,-1.0)
(21.0,-14.0,-4.0)
(26.0,-18.0,-1.0)
(28.0,-19.0,1.0)
(23.0,-21.0,-2.0)
(23.0,-15.0,-1.0)
(26.0,-11.0,-3.0)
(26.0,-17.0,-2.0)
(21.0,-22.0,0.0)
(24.0,-18.0,-3.0)
(23.0,-19.0,-6.0)
(23.0,-13.0,-3.0)
(28.0,-12.0,-5.0)
(26.0,-20.0,-3.0)
(28.0,-21.0,-2.0)
(22.0,-18.0,-6.0)
(22.0,-20.0,0.0)
(23.0,-21.0,3.0)
(28.0,-10.0,1.0)
(26.0,-12.0,3.0)
(27.0,-21.0,-1.0)
(25.0,-25.0,-1.0)
(25.0,-18.0,2.0)
(28.0,-14.0,0.0)
(26.0,-17.0,-3.0)
(27.0,-20.0,-6.0)
(25.0,-18.0,-6.0)
(27.0,-23.0,-1.0)
(24.0,-22.0,1.0)
(28.0,-16.0,-2.0)
(25.0,-14.0,-4.0)
(22.0,-17.0,1.0)
(26.0,-14.0,-1.0)
(22.0,-18.0,-3.0)
(20.0,-24.0,-4.0)
(19.0,-22.0,-1.0)
(24.0,-22.0,-1.0)
(23.0,-13.0,-3.0)
(26.0,-12.0,-3.0)
(27.0,-13.0,-2.0)
(23.0,-12.0,254.0)
(26.0,-18.0,-2.0)
(29.0,-17.0,-6.0)
(24.0,-16.0,-2.0)
(23.0,-18.0,-3.0)
(20.0,-13.0,-4.0)
(20.0,-22.0,-2.0)
(25.0,-24.0,-2.0)
(24.0,-22.0,1.0)
(21.0,-19.0,-2.0)
(21.0,-18.0,-2.0)
(30.0,-12.0,-2.0)
(33.0,-18.0,-1.0)
(29.0,-9.0,-3.0)
(26.0,-11.0,-3.0)
(27.0,-18.0,-2.0)
(18.0,-16.0,-2.0)
